Date,OAT,kW
1/5/2016 4:45,51.40000153,286.8
1/5/2016 5:00,50.95000076,292.5
1/5/2016 5:15,50.5,347.4
1/5/2016 5:30,49.95000076,368.7
1/5/2016 5:45,50.20000076,373.2
1/5/2016 6:00,50.25,359.7
1/5/2016 6:15,50,360.9
1/5/2016 6:30,49.79999924,357.6
1/5/2016 6:45,49.90000153,369
1/5/2016 7:00,49.75,386.4
1/5/2016 7:15,49.70000076,393.6
1/5/2016 7:30,49.90000153,403.5
1/5/2016 7:45,50,407.4
1/5/2016 8:00,50.20000076,407.4
1/5/2016 8:15,50.60000229,399
1/5/2016 8:30,51.25,409.2
1/5/2016 8:45,52,421.8
1/5/2016 9:00,52.15000153,417.3
1/5/2016 9:15,51.90000153,426.3
1/5/2016 9:30,52.45000076,428.4
1/5/2016 9:45,53.40000153,415.2
1/5/2016 10:00,54.45000076,413.4
1/5/2016 10:15,54.40000153,413.4
1/5/2016 10:30,54.80000114,416.1
1/5/2016 10:45,53.90000153,421.2
1/5/2016 11:00,53.89999962,412.5
1/5/2016 11:15,53.60000229,414
1/5/2016 11:30,52.45000076,412.2
1/5/2016 11:45,52.60000229,411.9
1/5/2016 12:00,53.15000153,417.6
1/5/2016 12:15,53.70000076,428.4
1/5/2016 12:30,52.95000076,428.4
1/5/2016 12:45,52.90000153,416.1
1/5/2016 13:00,53.5,412.5
1/5/2016 13:15,53.70000076,412.8
1/5/2016 13:30,53.5,411
1/5/2016 13:45,54.60000229,418.5
1/5/2016 14:00,55.20000076,410.4
1/5/2016 14:15,56,426.6
1/5/2016 14:30,58.20000076,431.4
1/5/2016 14:45,55.60000229,413.1
1/5/2016 15:00,54.89999962,422.1
1/5/2016 15:15,56.70000076,414.6
1/5/2016 15:30,54.85000038,409.5
1/5/2016 15:45,54.70000076,393.9
1/5/2016 16:00,53.75,400.5
1/5/2016 16:15,53.79999924,404.7
1/5/2016 16:30,52.54999924,401.7
1/5/2016 16:45,51.60000229,396
1/5/2016 17:00,50.85000038,395.4
1/5/2016 17:15,50.29999924,387
1/5/2016 17:30,50.25000191,383.7
1/5/2016 17:45,49.90000153,390.3
1/5/2016 18:00,49.95000076,393.9
1/5/2016 18:15,49.5,395.1
1/5/2016 18:30,48.55000114,385.8
1/5/2016 18:45,49,388.5
1/5/2016 19:00,49.40000153,385.2
1/5/2016 19:15,49.20000076,384.9
1/5/2016 19:30,48.45000076,386.7
1/5/2016 19:45,49.10000229,380.4
1/5/2016 20:00,49.05000114,369.3
1/5/2016 20:15,48.90000153,308.4
1/5/2016 20:30,48.75000191,303
1/5/2016 20:45,48.79999924,305.1
1/5/2016 21:00,48.85000038,303.3
1/5/2016 21:15,49.5,301.2
1/5/2016 21:30,48.60000038,285.3
1/5/2016 21:45,47.70000076,292.5
1/5/2016 22:00,47.35000038,288
1/5/2016 22:15,46.90000153,275.4
1/5/2016 22:30,46.40000153,278.4
1/5/2016 22:45,46.10000229,269.1
1/5/2016 23:00,46.20000076,261.3
1/5/2016 23:15,46.20000076,267.9
1/5/2016 23:30,46.89999962,270
1/5/2016 23:45,46.90000153,269.1
1/6/2016 0:00,47.45000076,266.7
1/6/2016 0:15,47.70000076,266.7
1/6/2016 0:30,47.89999962,261.9
1/6/2016 0:45,48.10000229,257.1
1/6/2016 1:00,47.95000076,261
1/6/2016 1:15,48,263.1
1/6/2016 1:30,49,257.1
1/6/2016 1:45,49.90000153,261.6
1/6/2016 2:00,50.05000114,265.8
1/6/2016 2:15,49.90000153,267.6
1/6/2016 2:30,50.10000229,269.1
1/6/2016 2:45,49.90000153,265.8
1/6/2016 3:00,50,263.1
1/6/2016 3:15,50.60000229,268.8
1/6/2016 3:30,50.39999962,271.8
1/6/2016 3:45,49.90000153,266.7
1/6/2016 4:00,49.60000038,262.5
1/6/2016 4:15,48.79999924,280.8
1/6/2016 4:30,48.10000038,287.7
1/6/2016 4:45,47.40000153,288.6
1/6/2016 5:00,46.89999962,289.2
1/6/2016 5:15,46.70000076,340.5
1/6/2016 5:30,46.75,346.5
1/6/2016 5:45,47.20000076,349.5
1/6/2016 6:00,47.60000038,352.5
1/6/2016 6:15,48,364.5
1/6/2016 6:30,47.95000076,370.2
1/6/2016 6:45,48,384.6
1/6/2016 7:00,48.25,393.6
1/6/2016 7:15,47.90000153,420.9
1/6/2016 7:30,47.85000038,418.8
1/6/2016 7:45,48,417.9
1/6/2016 8:00,48.25,415.5
1/6/2016 8:15,48.60000229,419.7
1/6/2016 8:30,48.90000153,427.2
1/6/2016 8:45,49.20000076,428.7
1/6/2016 9:00,50.45000076,425.1
1/6/2016 9:15,51.20000076,431.7
1/6/2016 9:30,51.54999924,425.4
1/6/2016 9:45,51.29999924,426.3
1/6/2016 10:00,53.45000076,427.2
1/6/2016 10:15,53.79999924,425.1
1/6/2016 10:30,54.70000076,423
1/6/2016 10:45,52.60000229,426
1/6/2016 11:00,50.90000153,424.8
1/6/2016 11:15,51.5,430.2
1/6/2016 11:30,55.05000114,417.3
1/6/2016 11:45,55.70000076,417.3
1/6/2016 12:00,54.80000114,426.9
1/6/2016 12:15,59.79999924,423.3
1/6/2016 12:30,56.20000076,417.9
1/6/2016 12:45,54,416.4
1/6/2016 13:00,52.39999962,415.2
1/6/2016 13:15,52.90000153,421.8
1/6/2016 13:30,54.75000191,410.1
1/6/2016 13:45,55.70000076,403.5
1/6/2016 14:00,55.20000076,405
1/6/2016 14:15,55.29999924,418.2
1/6/2016 14:30,55.55000114,414.6
1/6/2016 14:45,55.79999924,432
1/6/2016 15:00,55,418.5
1/6/2016 15:15,58.20000076,416.1
1/6/2016 15:30,55.75,408
1/6/2016 15:45,58.20000076,410.1
1/6/2016 16:00,55.95000076,406.2
1/6/2016 16:15,58.20000076,402.6
1/6/2016 16:30,54.70000076,413.1
1/6/2016 16:45,53,408.9
1/6/2016 17:00,52.04999924,409.5
1/6/2016 17:15,51.60000229,405
1/6/2016 17:30,50.75,402
1/6/2016 17:45,50.70000076,393.9
1/6/2016 18:00,50.35000038,396.3
1/6/2016 18:15,50.70000076,381.3
1/6/2016 18:30,50,388.2
1/6/2016 18:45,49.20000076,379.8
1/6/2016 19:00,48.39999962,378.9
1/6/2016 19:15,48.40000153,376.2
1/6/2016 19:30,47.80000114,379.2
1/6/2016 19:45,47.40000153,371.1
1/6/2016 20:00,47.10000038,372
1/6/2016 20:15,47.10000229,307.5
1/6/2016 20:30,47.70000076,312.9
1/6/2016 20:45,47.5,307.2
1/6/2016 21:00,47.45000076,309.9
1/6/2016 21:15,47.5,294.6
1/6/2016 21:30,47.40000153,283.5
1/6/2016 21:45,47.20000076,289.8
1/6/2016 22:00,46.95000076,283.2
1/6/2016 22:15,46.70000076,272.1
1/6/2016 22:30,46.45000076,268.8
1/6/2016 22:45,46.60000229,267.3
1/6/2016 23:00,46.5,271.8
1/6/2016 23:15,46.70000076,271.2
1/6/2016 23:30,46.55000114,268.8
1/6/2016 23:45,46.5,262.8
1/7/2016 0:00,46.39999962,261.9
1/7/2016 0:15,46,267
1/7/2016 0:30,45.70000076,266.4
1/7/2016 0:45,45.60000229,268.5
1/7/2016 1:00,45.75,265.8
1/7/2016 1:15,45.79999924,267.9
1/7/2016 1:30,45.65000153,266.4
1/7/2016 1:45,45.29999924,262.8
1/7/2016 2:00,44.95000076,258
1/7/2016 2:15,44.5,255.6
1/7/2016 2:30,44.25,255.9
1/7/2016 2:45,44.10000229,260.4
1/7/2016 3:00,43.55000114,264.3
1/7/2016 3:15,43.40000153,269.1
1/7/2016 3:30,42.80000114,265.2
1/7/2016 3:45,43,255.3
1/7/2016 4:00,43.30000114,255.6
1/7/2016 4:15,43.5,282.6
1/7/2016 4:30,43.25,292.2
1/7/2016 4:45,43,290.7
1/7/2016 5:00,43.05000114,291.3
1/7/2016 5:15,42.5,340.8
1/7/2016 5:30,41.85000038,351.9
1/7/2016 5:45,42.10000229,357.3
1/7/2016 6:00,42.00000191,351.9
1/7/2016 6:15,42.20000076,369
1/7/2016 6:30,42.45000076,378
1/7/2016 6:45,42.20000076,383.1
1/7/2016 7:00,42.60000038,392.7
1/7/2016 7:15,42.90000153,419.1
1/7/2016 7:30,43.40000153,423.9
1/7/2016 7:45,44,430.8
1/7/2016 8:00,44.95000076,425.1
1/7/2016 8:15,46.40000153,423.9
1/7/2016 8:30,46.85000038,440.4
1/7/2016 8:45,46.70000076,432
1/7/2016 9:00,47.55000114,433.5
1/7/2016 9:15,48.60000229,429.9
1/7/2016 9:30,48.35000038,411.9
1/7/2016 9:45,49.20000076,411.9
1/7/2016 10:00,48.00000191,416.1
1/7/2016 10:15,49.40000153,415.5
1/7/2016 10:30,50.45000076,411.9
1/7/2016 10:45,50.90000153,430.8
1/7/2016 11:00,51.75000191,423.9
1/7/2016 11:15,53,424.2
1/7/2016 11:30,55.54999924,416.7
1/7/2016 11:45,55.29999924,421.2
1/7/2016 12:00,55.30000114,415.5
1/7/2016 12:15,57.90000153,429
1/7/2016 12:30,58.39999962,431.1
1/7/2016 12:45,57.29999924,419.1
1/7/2016 13:00,59.55000114,416.1
1/7/2016 13:15,58.60000229,421.5
1/7/2016 13:30,57.39999962,431.7
1/7/2016 13:45,60.40000153,437.7
1/7/2016 14:00,55.79999924,435.3
1/7/2016 14:15,57.60000229,427.8
1/7/2016 14:30,57.75000191,426
1/7/2016 14:45,61.20000076,432
1/7/2016 15:00,61.55000114,416.7
1/7/2016 15:15,53.70000076,413.4
1/7/2016 15:30,59.65000153,408.3
1/7/2016 15:45,60.79999924,405.9
1/7/2016 16:00,60.10000038,405.6
1/7/2016 16:15,58.79999924,401.1
1/7/2016 16:30,52.85000229,402.3
1/7/2016 16:45,51.70000076,398.4
1/7/2016 17:00,50.75,395.1
1/7/2016 17:15,49.70000076,403.8
1/7/2016 17:30,48.45000076,393
1/7/2016 17:45,48.29999924,397.5
1/7/2016 18:00,48.10000229,396.6
1/7/2016 18:15,46.60000229,386.4
1/7/2016 18:30,46.05000114,369.9
1/7/2016 18:45,46.79999924,367.5
1/7/2016 19:00,46.60000229,369.9
1/7/2016 19:15,45.90000153,381.3
1/7/2016 19:30,44.90000153,385.2
1/7/2016 19:45,44.40000153,380.4
1/7/2016 20:00,43.80000114,371.7
1/7/2016 20:15,44,294.3
1/7/2016 20:30,43,287.7
1/7/2016 20:45,42.70000076,293.4
1/7/2016 21:00,42.15000153,297.3
1/7/2016 21:15,41.79999924,291.3
1/7/2016 21:30,41.75,286.8
1/7/2016 21:45,41.5,270
1/7/2016 22:00,41.25000191,267.6
1/7/2016 22:15,41.29999924,274.2
1/7/2016 22:30,40.65000153,265.8
1/7/2016 22:45,40.70000076,269.4
1/7/2016 23:00,41.14999962,271.8
1/7/2016 23:15,41.90000153,276
1/7/2016 23:30,40.65000153,273
1/7/2016 23:45,39.60000229,264.9
1/8/2016 0:00,39.25000191,278.7
1/8/2016 0:15,39.60000229,273.9
1/8/2016 0:30,39.5,273.6
1/8/2016 0:45,38.70000076,276.9
1/8/2016 1:00,39.50000191,279
1/8/2016 1:15,39.10000229,277.5
1/8/2016 1:30,38.40000153,279
1/8/2016 1:45,38.79999924,273.6
1/8/2016 2:00,38.70000076,274.2
1/8/2016 2:15,39,271.5
1/8/2016 2:30,38.45000076,270.9
1/8/2016 2:45,38.70000076,273
1/8/2016 3:00,38,274.8
1/8/2016 3:15,37.29999924,279.3
1/8/2016 3:30,37.75,275.1
1/8/2016 3:45,37.79999924,271.5
1/8/2016 4:00,37.15000153,276.6
1/8/2016 4:15,38,295.8
